,雇主id,雇主名字,provice_name,city_name,订单内容,成交金额,经度,纬度
0,21902076,m_0018_461q4z,四川,阿坝藏族羌族自治州,折页设计DM单设计三折页设计宣传页设计宣传广告设计菜单设计,450,102.4805,32.4536
1,21948182,m_1648_bwilya,四川,阿坝藏族羌族自治州,网站定制开发,600,102.4805,32.4536
2,21345168,m_6654_85d7bv,内蒙古,阿拉善盟,刘先生美妆行业LOGO设计,2500,102.019,40.1001
3,21664488,t_7554_gAr7xg,内蒙古,阿拉善盟,阿拉善左旗文化旅游LOGO设计,300,102.019,40.1001
4,15921802,m_7332_a64nj8,陕西,安康,【九千国际】高端SI店面设计店铺设计专卖店设计室内装修设计,95,109.1162,32.7722
5,21898717,m_2175_hzwgj2,陕西,安康,logo设计标志设计包装vi图文图形商标品牌,988,109.1162,32.7722
6,21929644,m_5693_g7c035,河南,安阳,我需要家装设计,500,114.5325,36.0022
7,10965606,Deronintl,河南,安阳,需要品牌起名,300,114.5325,36.0022
8,21996361,t_6541bns0ly,辽宁,鞍山,app定制开发软件APP制作原生开发产品设计【实体团队】,500,123.0798,40.6055
9,21978115,t_7946kutr5k,辽宁,鞍山,【总监操刀】微信微博原创、公众号创意营销文案策划、新媒体文案,200,123.0798,40.6055
10,7718116,we7845781_@Zbj,辽宁,鞍山,PS图片处理P图详情页美工抠图去水印改字修图主图海报图片设计,300,123.0798,40.6055
11,11722968,微易微信营销,内蒙古,巴彦淖尔,微信代运营公众号文案原创微信文章写作公众号代运营微博文章撰写,2500,107.5562,41.3196
12,20190103,t_5041vsvlr2,四川,巴中,【高端定制】三折页设计四折页设计画册设计宣传页册设计宣传广告,500,107.0618,31.9977
13,21548129,t_9277Pcaotg,广西,百色,【威威3套方案】品牌logo设计详情页设计设计标志设计,308,106.6003,23.9227
14,21548129,t_9277Pcaotg,广西,百色,超市百货效果图设计便利店装修设计水果店室内装修店铺室内设计,1590,106.6003,23.9227
15,14234239,m_22279cexaa,安徽,蚌埠,一元就送广告语/活动期间到你手软/,1,117.4109,33.1073
16,21925025,m_3261_fdq3ys,安徽,蚌埠,我需要logo,100,117.4109,33.1073
17,21892095,m_2559_5ey27t,内蒙古,包头,【雷鹰团队】公司取名字 品牌起名字 企业商标 产品店铺命名字,600,110.3467,41.4899
18,223065,追梦人-加油,内蒙古,包头,logo设计图文企业餐饮服饰金融科技门店品牌LOGO图形标志,298,110.3467,41.4899
19,21779549,t_9991rlqdsr,内蒙古,包头,我需要VI系统设计,6580,110.3467,41.4899
20,21970133,m_5219_m26dge,内蒙古,包头,我需要市场营销策划,300,110.3467,41.4899
21,19332214,t_8601upjvsm,陕西,宝鸡,我需要详情页设计,1000,107.1826,34.3433
22,21925178,m_8380_lw78tw,陕西,宝鸡,网络推广整合营销百度网站品牌产品营销软文营销发布百科口碑营销,200,107.1826,34.3433
23,13175457,m_88808w8tyv,河北,保定,【5款方案-性价比】logo设计图文LOGOvi标志字体商标,580,115.0488,39.0948
24,12492194,m_9777_lwjmdq,河北,保定,商标设计公司企业LOGO餐饮字体设计门店LOGO广告品牌设计,360,115.0488,39.0948
25,21871509,m_0330_pzfd9c,河北,保定,雄安新区泰天塑料制品有限公司LOGO设计,300,115.0488,39.0948
26,17660193,我是你的眼中花,河北,保定,【逐鹿】微信朋友圈运营公众号托管微信群活动策划,230,115.0488,39.0948
27,21983597,t_2977_BZp9z3,河北,保定,LOGO设计,2999,115.0488,39.0948
28,21877304,m_3856_2b237c,河北,保定,中青供应链有限公司LOGO设计,300,115.0488,39.0948
29,20496621,m_9952_ahlwex,河北,保定,【爵视总监画册设计】|房地产|教育|互联网|金融|家居|政府,500,115.0488,39.0948
30,5533192,mrxu110,河北,保定,航空航模飞行教育基地LOGO设计,150,115.0488,39.0948
31,21566167,t_1212il90ll,河北,保定,公司企业产品品牌广告语宣传口号主题促销,500,115.0488,39.0948
32,12560221,open_pij2xfae,河北,保定,【3套方案】logo字体设计LOGO公司包装vi标志企业图文,360,115.0488,39.0948
33,21838841,m_0193_aa6xf8,河北,保定,绘本馆装修设计,400,115.0488,39.0948
34,21953925,m_4486_wgb7zj,河北,保定,我需要电商视频制作,300,115.0488,39.0948
35,20635154,RDP,广西,北海,绿牧食品，LOGO设计，需注册商标。,300,109.314,21.6211
36,21920146,聚景,广西,北海,易象公司logo设计标志设计餐饮LOGO企业字体图形设计商标,300,109.314,21.6211
37,10855918,疯狂铁冰,北京,北京,我需要LOGO,900,116.4551,40.2539
38,6988361,xby__@Zbj,北京,北京,(逐美）室内，家装，工装，公建，别墅，景观，漫游动画，鸟瞰图,2200,116.4551,40.2539
39,6567622,dongsui,北京,北京,需要logo,1000,116.4551,40.2539
40,16197826,m_4945_lta3rd,北京,北京,添紫传媒,3000,116.4551,40.2539
41,21724998,m_6395_no7qj7,北京,北京,北京卖客壹佰物联网科技有限公司需要购物空间设计,1000,116.4551,40.2539
42,21946304,t_0863_luu6ep,北京,北京,我需要vi系统设计,960,116.4551,40.2539
43,14076569,leshuileshan,北京,北京,【 买一送一】电脑+手机网站数据同步|网站建设|网站制作,2000,116.4551,40.2539
44,21496196,m_6071_mhoryx,北京,北京,我需要logo,1000,116.4551,40.2539
45,21926376,m_9474_ru263a,北京,北京,【新用户福利】我需要0成本代理游戏服务,0.1,116.4551,40.2539
46,21903488,m_7203_u9btlr,北京,北京,海报画册菜谱展架书籍网络灯箱卡片宣传册宣传单展架台历墙体设计,495,116.4551,40.2539
47,21090408,t_9085wR0vuc,北京,北京,LOGO设计/商标设计/卡通logo/字体设计/企业logo,500,116.4551,40.2539
48,21759199,m_9746_oar3x9,北京,北京,酒店设计 酒店民宿 快捷酒店 主题酒店 效果图设计 室内设计,14480,116.4551,40.2539
49,21976259,m_6432_es5lyf,北京,北京,【旗舰店】人工英语英文翻译服务公司电商法律合同机械说明书简历,163,116.4551,40.2539
