,雇主id,雇主名字,provice_name,city_name,订单内容,成交金额,经度,纬度
0,21777451,MrPet,河北,邢台,LOGO设计,105,114.8071,37.2821
1,21962700,m_3916_66h12j,江苏,枣庄,logo设计 公司企业标志设计商标餐饮酒店科技数码 组长操刀,500,117.323,34.8926
2,22011537,m_2783_dnygmd,上海,上海,企业海报设计品牌展示商品上新公益宣传招生招聘比赛演出会展招商,300,121.4648,31.2891
3,21910335,m_0215_mhwj44,北京,北京,梵尚插画大幅插画绘本/中国风/国画风手绘插图/书籍插画绘本,2000,116.4551,40.2539
4,21803424,m_3890_g2fe3i,四川,成都,教育LOGO设计/标志设计/创意/企业商标设计/卡通logo,680,103.9526,30.7617
5,21253687,m_9317_kuiwgh,内蒙古,赤峰,葆青春面膜包装盒设计,150,118.6743,43.2642
6,11141358,m_74454jbki2,河北,石家庄,我需要LOGO,1000,114.4995,38.1006
7,21657218,t_8320_fvdu4t,上海,上海,实时数据展示大数据可视化数据集成大数据平台开发大数据动态展示,8240,121.4648,31.2891
8,22000931,m_4044_jlu4dx,山东,聊城,我需要logo,360,115.9167,36.4032
9,21817971,m_2279_gyfbdj,天津,天津,我需要包装设计,4500,117.4219,39.4189
10,21987632,t_2931axc1w7,江苏,宿迁,【首页设计】淘宝天猫京东电商主页首页定制设计美工修图,12,118.5535,33.7775
11,21980304,t_5990_FSxns7,四川,成都,我需要剪辑服务,500,103.9526,30.7617
12,21483723,m_2666_x4a43r,北京,北京,宣传单设计,3500,116.4551,40.2539
13,17167692,t_1706lge8tm,山东,青岛,意大利珠宝品牌LOGO设计,1000,120.4651,36.3373
14,6988361,xby__@Zbj,北京,北京,(逐美）室内，家装，工装，公建，别墅，景观，漫游动画，鸟瞰图,2200,116.4551,40.2539
15,21923783,t_3044_hfrjgl,浙江,杭州,我需要LOGO,1000,119.5313,29.8773
16,21760350,m_9240_nh69d4,广东,惠州,我需要vi系统设计,100,114.6204,23.1647
17,8938696,湖口论坛,上海,上海,需要logo,300,121.4648,31.2891
18,21736393,m_8512_hy8c03,广东,广州,淘宝美工包月详情页爆款设计网店设计店铺装修海报首页详情页设计,4000,113.5107,23.2196
19,21866291,爱瓜瓜,湖南,长沙,长沙麦睛科技LOGO设计,400,113.0823,28.2568
20,21855702,m_3341_6njws8,江苏,常州,我需要起名取名,1088,119.4543,31.5582
21,20025875,t_1475jnxpr5,北京,北京,企业网站建设网站设计网站开发网站定制网站制作网页设计公司官网,80,116.4551,40.2539
